Rotary encoder SYNC DATA
Neuropixel setup
Samping rate: 50 sps
20-23-22_01-13-2023
timestamp_sys,timestamp
2023-01-13_20:23:22.644678,101
2023-01-13_20:23:22.754616,211
2023-01-13_20:23:22.865489,321
2023-01-13_20:23:22.974288,431
2023-01-13_20:23:23.085307,541
2023-01-13_20:23:23.195187,652
2023-01-13_20:23:23.305216,762
2023-01-13_20:23:23.415180,872
2023-01-13_20:23:23.524983,982
2023-01-13_20:23:23.634273,1092
2023-01-13_20:23:23.745433,1202
2023-01-13_20:23:23.855233,1312
2023-01-13_20:23:23.965360,1422
2023-01-13_20:23:24.075169,1532
2023-01-13_20:23:24.185195,1642
2023-01-13_20:23:24.295074,1752
2023-01-13_20:23:24.405586,1862
2023-01-13_20:23:24.515366,1972
2023-01-13_20:23:24.626098,2082
2023-01-13_20:23:24.735259,2193
2023-01-13_20:23:24.846445,2303
2023-01-13_20:23:24.955988,2413
2023-01-13_20:23:25.066201,2523
2023-01-13_20:23:25.175354,2633
2023-01-13_20:23:25.286835,2743
2023-01-13_20:23:25.396006,2853
2023-01-13_20:23:25.506341,2963
2023-01-13_20:23:25.616653,3073
2023-01-13_20:23:25.727313,3183
2023-01-13_20:23:25.836629,3293
2023-01-13_20:23:25.946456,3403
2023-01-13_20:23:26.056638,3513
2023-01-13_20:23:26.166931,3623
2023-01-13_20:23:26.276540,3734
2023-01-13_20:23:26.387344,3844
2023-01-13_20:23:26.496366,3954
2023-01-13_20:23:26.606967,4064
2023-01-13_20:23:26.717177,4174
2023-01-13_20:23:26.827326,4284
2023-01-13_20:23:26.936845,4394
2023-01-13_20:23:27.046981,4504
2023-01-13_20:23:27.157261,4614
2023-01-13_20:23:27.267665,4724
2023-01-13_20:23:27.377999,4834
2023-01-13_20:23:27.487669,4944
2023-01-13_20:23:27.597701,5054
2023-01-13_20:23:27.706973,5164
2023-01-13_20:23:27.817839,5274
2023-01-13_20:23:27.927379,5385
2023-01-13_20:23:28.037848,5495
2023-01-13_20:23:28.147994,5605
2023-01-13_20:23:28.257789,5715
2023-01-13_20:23:28.367322,5825
2023-01-13_20:23:28.477604,5935
2023-01-13_20:23:28.587915,6045
2023-01-13_20:23:28.697964,6155
2023-01-13_20:23:28.808272,6265
2023-01-13_20:23:28.918491,6375
2023-01-13_20:23:29.028204,6485
2023-01-13_20:23:29.138698,6595
2023-01-13_20:23:29.248218,6705
2023-01-13_20:23:29.358257,6815
2023-01-13_20:23:29.468714,6926
2023-01-13_20:23:29.578976,7036
2023-01-13_20:23:29.689278,7146
2023-01-13_20:23:29.798581,7256
2023-01-13_20:23:29.909019,7366
2023-01-13_20:23:30.019366,7476
2023-01-13_20:23:30.128772,7586
2023-01-13_20:23:30.239050,7696
2023-01-13_20:23:30.348972,7806
2023-01-13_20:23:30.459031,7916
2023-01-13_20:23:30.569819,8026
2023-01-13_20:23:30.679187,8136
2023-01-13_20:23:30.789473,8246
2023-01-13_20:23:30.899280,8356
2023-01-13_20:23:31.009448,8467
2023-01-13_20:23:31.119721,8577
2023-01-13_20:23:31.229928,8687
2023-01-13_20:23:31.339651,8797
2023-01-13_20:23:31.449617,8907
2023-01-13_20:23:31.560473,9017
2023-01-13_20:23:31.670174,9127
2023-01-13_20:23:31.780271,9237
2023-01-13_20:23:31.890259,9347
2023-01-13_20:23:32.000198,9457
2023-01-13_20:23:32.109872,9567
2023-01-13_20:23:32.220311,9677
2023-01-13_20:23:32.330540,9787
2023-01-13_20:23:32.441053,9897
2023-01-13_20:23:32.550926,10007
2023-01-13_20:23:32.660687,10118
2023-01-13_20:23:32.770457,10228
2023-01-13_20:23:32.881153,10338
2023-01-13_20:23:32.991317,10448
2023-01-13_20:23:33.101207,10558
2023-01-13_20:23:33.210633,10668
2023-01-13_20:23:33.321814,10778
2023-01-13_20:23:33.431424,10888
2023-01-13_20:23:33.541122,10998
2023-01-13_20:23:33.651086,11108
2023-01-13_20:23:33.761343,11218
2023-01-13_20:23:33.871192,11328
2023-01-13_20:23:33.981624,11438
2023-01-13_20:23:34.091392,11548
2023-01-13_20:23:34.201482,11659
2023-01-13_20:23:34.312083,11769
2023-01-13_20:23:34.422335,11879
2023-01-13_20:23:34.532046,11989
2023-01-13_20:23:34.642025,12099
2023-01-13_20:23:34.752223,12209
