Rotary encoder POSITION DATA
Neuropixel setup
Samping rate: 50 sps
20-21-09_01-13-2023
timestamp_sys,timestamp,position,interrupt,position_at_interrupt
2023-01-13_20:21:09.177034, 0, 0, 0, 0
2023-01-13_20:21:09.197060, 20, 0, 0, 0
2023-01-13_20:21:09.217153, 40, 0, 0, 0
2023-01-13_20:21:09.237063, 60, 0, 0, 0
2023-01-13_20:21:09.256980, 80, 0, 0, 0
2023-01-13_20:21:09.277096, 100, 0, 0, 0
2023-01-13_20:21:09.297222, 120, 0, 0, 0
2023-01-13_20:21:09.316956, 140, 0, 0, 0
2023-01-13_20:21:09.337021, 160, 0, 0, 0
2023-01-13_20:21:09.356632, 180, 0, 0, 0
2023-01-13_20:21:09.376964, 200, 0, 0, 0
2023-01-13_20:21:09.397029, 220, 0, 0, 0
2023-01-13_20:21:09.417092, 240, 0, 0, 0
2023-01-13_20:21:09.437190, 260, 0, 0, 0
2023-01-13_20:21:09.457189, 280, 0, 0, 0
2023-01-13_20:21:09.477101, 300, 0, 0, 0
2023-01-13_20:21:09.497013, 320, 0, 0, 0
2023-01-13_20:21:09.517036, 340, 0, 0, 0
2023-01-13_20:21:09.536965, 360, 0, 0, 0
2023-01-13_20:21:09.556958, 380, 0, 0, 0
2023-01-13_20:21:09.576490, 400, 0, 0, 0
2023-01-13_20:21:09.596958, 420, 0, 0, 0
2023-01-13_20:21:09.617046, 440, 0, 0, 0
2023-01-13_20:21:09.637038, 460, 0, 0, 0
2023-01-13_20:21:09.657430, 480, 0, 0, 0
2023-01-13_20:21:09.676561, 500, 0, 0, 0
2023-01-13_20:21:09.697273, 520, 0, 0, 0
2023-01-13_20:21:09.716960, 540, 0, 0, 0
2023-01-13_20:21:09.736985, 560, 0, 0, 0
2023-01-13_20:21:09.757370, 580, 0, 0, 0
2023-01-13_20:21:09.776856, 600, 0, 0, 0
2023-01-13_20:21:09.796960, 620, 0, 0, 0
2023-01-13_20:21:09.817357, 640, 0, 0, 0
2023-01-13_20:21:09.836238, 660, 0, 0, 0
2023-01-13_20:21:09.857198, 680, 0, 0, 0
2023-01-13_20:21:09.877624, 700, 0, 0, 0
2023-01-13_20:21:09.896479, 720, 0, 0, 0
2023-01-13_20:21:09.917448, 740, 0, 0, 0
2023-01-13_20:21:09.937201, 760, 0, 0, 0
2023-01-13_20:21:09.957098, 780, 0, 0, 0
2023-01-13_20:21:09.977310, 800, 0, 0, 0
2023-01-13_20:21:09.997131, 820, 0, 0, 0
2023-01-13_20:21:10.016995, 840, 0, 0, 0
2023-01-13_20:21:10.037026, 860, 0, 0, 0
2023-01-13_20:21:10.056822, 880, 0, 0, 0
2023-01-13_20:21:10.076860, 900, 0, 0, 0
2023-01-13_20:21:10.096772, 920, 0, 0, 0
2023-01-13_20:21:10.116685, 940, 0, 0, 0
2023-01-13_20:21:10.137604, 960, 0, 0, 0
2023-01-13_20:21:10.157058, 980, 0, 0, 0
2023-01-13_20:21:10.176934, 1000, 0, 0, 0
2023-01-13_20:21:10.196937, 1020, 0, 0, 0
2023-01-13_20:21:10.217227, 1040, 0, 0, 0
2023-01-13_20:21:10.237119, 1060, 0, 0, 0
2023-01-13_20:21:10.257133, 1080, 0, 0, 0
2023-01-13_20:21:10.277187, 1100, 0, 0, 0
2023-01-13_20:21:10.297181, 1120, 0, 0, 0
2023-01-13_20:21:10.316940, 1140, 0, 0, 0
2023-01-13_20:21:10.337306, 1160, 0, 0, 0
2023-01-13_20:21:10.357185, 1180, 0, 0, 0
2023-01-13_20:21:10.377378, 1200, 0, 0, 0
2023-01-13_20:21:10.396826, 1220, 0, 0, 0
2023-01-13_20:21:10.416736, 1240, 0, 0, 0
2023-01-13_20:21:10.436711, 1260, 0, 0, 0
2023-01-13_20:21:10.456756, 1280, 0, 0, 0
2023-01-13_20:21:10.476794, 1300, 0, 0, 0
2023-01-13_20:21:10.497179, 1320, 0, 0, 0
2023-01-13_20:21:10.516965, 1340, 0, 0, 0
2023-01-13_20:21:10.536966, 1360, 0, 0, 0
2023-01-13_20:21:10.557153, 1380, 0, 0, 0
2023-01-13_20:21:10.577497, 1400, 0, 0, 0
2023-01-13_20:21:10.597231, 1420, 0, 0, 0
2023-01-13_20:21:10.617034, 1440, 0, 0, 0
2023-01-13_20:21:10.637079, 1460, 0, 0, 0
2023-01-13_20:21:10.657206, 1480, 0, 0, 0
2023-01-13_20:21:10.676273, 1500, 0, 0, 0
2023-01-13_20:21:10.696439, 1520, 0, 0, 0
2023-01-13_20:21:10.717325, 1540, 0, 0, 0
2023-01-13_20:21:10.737155, 1560, 0, 0, 0
2023-01-13_20:21:10.757270, 1580, 0, 0, 0
2023-01-13_20:21:10.777248, 1600, 0, 0, 0
2023-01-13_20:21:10.797337, 1620, 0, 0, 0
2023-01-13_20:21:10.816376, 1640, 0, 0, 0
2023-01-13_20:21:10.836330, 1660, 0, 0, 0
2023-01-13_20:21:10.857303, 1680, 0, 0, 0
2023-01-13_20:21:10.877006, 1700, 0, 0, 0
2023-01-13_20:21:10.896917, 1720, 0, 0, 0
2023-01-13_20:21:10.917231, 1740, 0, 0, 0
2023-01-13_20:21:10.936729, 1760, 0, 0, 0
2023-01-13_20:21:10.956979, 1780, 0, 0, 0
2023-01-13_20:21:10.977327, 1800, 0, 0, 0
2023-01-13_20:21:10.996332, 1820, 0, 0, 0
2023-01-13_20:21:11.017311, 1840, -1, 0, 0
2023-01-13_20:21:11.037008, 1860, -1, 0, 0
2023-01-13_20:21:11.056969, 1880, -2, 0, 0
2023-01-13_20:21:11.077212, 1900, -14, 0, 0
2023-01-13_20:21:11.097334, 1920, -53, 0, 0
2023-01-13_20:21:11.117642, 1940, -113, 0, 0
2023-01-13_20:21:11.136863, 1960, -141, 0, 0
2023-01-13_20:21:11.157048, 1980, -134, 0, 0
2023-01-13_20:21:11.177341, 2000, -132, 0, 0
2023-01-13_20:21:11.196971, 2020, -133, 0, 0
2023-01-13_20:21:11.216971, 2040, -138, 0, 0
2023-01-13_20:21:11.236998, 2060, -164, 0, 0
2023-01-13_20:21:11.257185, 2080, -176, 0, 0
2023-01-13_20:21:11.277300, 2100, -178, 0, 0
2023-01-13_20:21:11.297289, 2120, -176, 0, 0
2023-01-13_20:21:11.317041, 2140, -178, 0, 0
2023-01-13_20:21:11.337799, 2160, -182, 0, 0
2023-01-13_20:21:11.356974, 2180, -183, 0, 0
2023-01-13_20:21:11.377384, 2200, -182, 0, 0
2023-01-13_20:21:11.397426, 2220, -181, 0, 0
2023-01-13_20:21:11.417436, 2240, -184, 0, 0
2023-01-13_20:21:11.437191, 2260, -187, 0, 0
2023-01-13_20:21:11.456972, 2280, -187, 0, 0
2023-01-13_20:21:11.476971, 2300, -187, 0, 0
2023-01-13_20:21:11.496937, 2320, -187, 0, 0
2023-01-13_20:21:11.517316, 2340, -185, 0, 0
2023-01-13_20:21:11.537227, 2360, -186, 0, 0
2023-01-13_20:21:11.557262, 2380, -186, 0, 0
2023-01-13_20:21:11.577639, 2400, -186, 0, 0
2023-01-13_20:21:11.596530, 2420, -187, 0, 0
2023-01-13_20:21:11.617176, 2440, -189, 0, 0
2023-01-13_20:21:11.636996, 2460, -202, 0, 0
2023-01-13_20:21:11.656909, 2480, -244, 0, 0
2023-01-13_20:21:11.677336, 2500, -274, 0, 0
2023-01-13_20:21:11.697178, 2520, -275, 0, 0
2023-01-13_20:21:11.716986, 2540, -269, 0, 0
2023-01-13_20:21:11.736755, 2560, -271, 0, 0
2023-01-13_20:21:11.757392, 2580, -276, 0, 0
2023-01-13_20:21:11.777505, 2600, -276, 0, 0
2023-01-13_20:21:11.796998, 2620, -276, 0, 0
2023-01-13_20:21:11.817050, 2640, -277, 0, 0
2023-01-13_20:21:11.837111, 2660, -277, 0, 0
2023-01-13_20:21:11.857332, 2680, -237, 0, 0
2023-01-13_20:21:11.877219, 2700, -37, 0, 0
2023-01-13_20:21:11.897114, 2720, 379, 0, 0
2023-01-13_20:21:11.916928, 2740, 859, 0, 0
2023-01-13_20:21:11.937286, 2760, 1381, 0, 0
2023-01-13_20:21:11.956976, 2780, 1866, 0, 0
2023-01-13_20:21:11.976947, 2800, 2219, 0, 0
2023-01-13_20:21:11.996997, 2820, 2482, 0, 0
2023-01-13_20:21:12.017090, 2840, 2698, 0, 0
2023-01-13_20:21:12.037014, 2860, 2885, 0, 0
2023-01-13_20:21:12.057050, 2880, 3047, 0, 0
2023-01-13_20:21:12.076987, 2900, 3181, 0, 0
2023-01-13_20:21:12.096481, 2920, 3281, 0, 0
2023-01-13_20:21:12.117177, 2940, 3354, 0, 0
2023-01-13_20:21:12.137244, 2960, 3404, 0, 0
2023-01-13_20:21:12.156986, 2980, 3409, 0, 0
2023-01-13_20:21:12.177403, 3000, 3625, 0, 0
2023-01-13_20:21:12.196626, 3020, 4088, 0, 0
2023-01-13_20:21:12.217018, 3040, 4632, 0, 0
2023-01-13_20:21:12.236805, 3060, 5147, 0, 0
2023-01-13_20:21:12.257047, 3080, 5564, 0, 0
2023-01-13_20:21:12.277448, 3100, 5915, 0, 0
2023-01-13_20:21:12.296677, 3120, 6217, 0, 0
2023-01-13_20:21:12.317069, 3140, 6475, 0, 0
2023-01-13_20:21:12.337047, 3160, 6692, 0, 0
2023-01-13_20:21:12.357388, 3180, 6875, 0, 0
2023-01-13_20:21:12.376295, 3200, 7026, 0, 0
2023-01-13_20:21:12.397202, 3220, 7103, 0, 0
2023-01-13_20:21:12.417115, 3240, 7462, 0, 0
2023-01-13_20:21:12.437030, 3260, 7940, 0, 0
2023-01-13_20:21:12.456980, 3280, 8463, 0, 0
2023-01-13_20:21:12.477616, 3300, 8873, 0, 0
2023-01-13_20:21:12.496849, 3320, 9208, 0, 0
2023-01-13_20:21:12.516981, 3340, 9494, 0, 0
2023-01-13_20:21:12.537204, 3360, 9736, 0, 0
2023-01-13_20:21:12.557020, 3380, 9935, 0, 0
2023-01-13_20:21:12.577027, 3400, 10097, 0, 0
2023-01-13_20:21:12.596934, 3420, 10228, 0, 0
2023-01-13_20:21:12.617063, 3440, 10275, 0, 0
2023-01-13_20:21:12.637274, 3460, 10639, 0, 0
2023-01-13_20:21:12.657162, 3480, 11158, 0, 0
2023-01-13_20:21:12.677392, 3500, 11574, 0, 0
2023-01-13_20:21:12.697669, 3520, 11864, 0, 0
2023-01-13_20:21:12.717336, 3540, 12111, 0, 0
2023-01-13_20:21:12.736920, 3560, 12330, 0, 0
2023-01-13_20:21:12.757169, 3580, 12522, 0, 0
2023-01-13_20:21:12.777079, 3600, 12676, 0, 0
2023-01-13_20:21:12.797038, 3620, 12793, 0, 0
2023-01-13_20:21:12.817034, 3640, 12872, 0, 0
2023-01-13_20:21:12.836518, 3660, 12912, 0, 0
2023-01-13_20:21:12.857430, 3680, 13093, 0, 0
2023-01-13_20:21:12.877128, 3700, 13533, 0, 0
2023-01-13_20:21:12.897102, 3720, 14034, 0, 0
2023-01-13_20:21:12.917054, 3740, 14362, 0, 0
2023-01-13_20:21:12.937065, 3760, 14622, 0, 0
2023-01-13_20:21:12.957485, 3780, 14861, 0, 0
2023-01-13_20:21:12.977473, 3800, 15081, 0, 0
2023-01-13_20:21:12.997388, 3820, 15273, 0, 0
2023-01-13_20:21:13.017167, 3840, 15431, 0, 0
2023-01-13_20:21:13.037613, 3860, 15550, 0, 0
2023-01-13_20:21:13.057622, 3880, 15591, 0, 0
2023-01-13_20:21:13.076986, 3900, 15774, 0, 0
2023-01-13_20:21:13.097074, 3920, 16124, 0, 0
2023-01-13_20:21:13.116352, 3940, 16612, 0, 0
2023-01-13_20:21:13.137100, 3960, 16962, 0, 0
2023-01-13_20:21:13.157120, 3980, 17212, 0, 0
2023-01-13_20:21:13.177614, 4000, 17425, 0, 0
2023-01-13_20:21:13.197677, 4020, 17608, 0, 0
2023-01-13_20:21:13.216986, 4040, 17757, 0, 0
2023-01-13_20:21:13.237655, 4060, 17871, 0, 0
2023-01-13_20:21:13.256526, 4080, 17957, 0, 0
2023-01-13_20:21:13.277340, 4100, 18018, 0, 0
2023-01-13_20:21:13.297004, 4120, 18021, 0, 0
2023-01-13_20:21:13.317200, 4140, 18322, 0, 0
