2018-08-18_18:04:43.122588,3323264
2018-08-18_18:04:43.147091,3323301
2018-08-18_18:04:43.172577,3323352
2018-08-18_18:04:43.196780,3323413
2018-08-18_18:04:43.222267,3323481
2018-08-18_18:04:43.247750,3323548
2018-08-18_18:04:43.272257,3323611
2018-08-18_18:04:43.297722,3323665
2018-08-18_18:04:43.322232,3323712
2018-08-18_18:04:43.347714,3323752
2018-08-18_18:04:43.372219,3323786
2018-08-18_18:04:43.397140,3323814
2018-08-18_18:04:43.422626,3323838
2018-08-18_18:04:43.447132,3323863
2018-08-18_18:04:43.472616,3323893
2018-08-18_18:04:43.497035,3323929
2018-08-18_18:04:43.522526,3323965
2018-08-18_18:04:43.547026,3324010
2018-08-18_18:04:43.572527,3324056
2018-08-18_18:04:43.596944,3324101
2018-08-18_18:04:43.622429,3324146
2018-08-18_18:04:43.646935,3324193
2018-08-18_18:04:43.672604,3324241
2018-08-18_18:04:43.697074,3324293
2018-08-18_18:04:43.722556,3324347
2018-08-18_18:04:43.747061,3324403
2018-08-18_18:04:43.772657,3324459
2018-08-18_18:04:43.797071,3324513
2018-08-18_18:04:43.822557,3324562
2018-08-18_18:04:43.847061,3324608
2018-08-18_18:04:43.872547,3324651
2018-08-18_18:04:43.896964,3324698
2018-08-18_18:04:43.922454,3324751
2018-08-18_18:04:43.946955,3324782
2018-08-18_18:04:43.972764,3324812
2018-08-18_18:04:43.997215,3324842
2018-08-18_18:04:44.022698,3324872
2018-08-18_18:04:44.047205,3324903
2018-08-18_18:04:44.072038,3324933
2018-08-18_18:04:44.097270,3324964
2018-08-18_18:04:44.122481,3324996
2018-08-18_18:04:44.147545,3325030
2018-08-18_18:04:44.172048,3325064
2018-08-18_18:04:44.197450,3325096
2018-08-18_18:04:44.222068,3325126
2018-08-18_18:04:44.247555,3325156
2018-08-18_18:04:44.272629,3325184
2018-08-18_18:04:44.297598,3325211
2018-08-18_18:04:44.322104,3325237
2018-08-18_18:04:44.347590,3325260
2018-08-18_18:04:44.372182,3325281
2018-08-18_18:04:44.397579,3325302
2018-08-18_18:04:44.422086,3325323
2018-08-18_18:04:44.447571,3325343
2018-08-18_18:04:44.472075,3325360
2018-08-18_18:04:44.497476,3325376
2018-08-18_18:04:44.522423,3325390
2018-08-18_18:04:44.546928,3325401
2018-08-18_18:04:44.572413,3325411
2018-08-18_18:04:44.596937,3325419
2018-08-18_18:04:44.622422,3325427
2018-08-18_18:04:44.646927,3325432
2018-08-18_18:04:44.672419,3325435
2018-08-18_18:04:44.697334,3325437
2018-08-18_18:04:44.721840,3325437
2018-08-18_18:04:44.747326,3325436
2018-08-18_18:04:44.771832,3325433
2018-08-18_18:04:44.797228,3325429
2018-08-18_18:04:44.822552,3325426
2018-08-18_18:04:44.847054,3325424
2018-08-18_18:04:44.872541,3325421
2018-08-18_18:04:44.897465,3325420
2018-08-18_18:04:44.921969,3325424
2018-08-18_18:04:44.947456,3325437
2018-08-18_18:04:44.971961,3325458
